"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"39950.529195";"发动机转速 x1000";"0.6";"rpm";"31.2457728";"121.3884051";
"39951.5542004";"指令空燃比";"14.63156736";"";"31.2457728";"121.3884051";
"39951.7735647";"节气门位置";"19.607843137254903";"%";"31.2457728";"121.3884051";
"39951.7735647";"节油器（基于燃油系统状态和油门位置）";"1";"";"31.2457728";"121.3884051";
"39951.8816026";"计算的瞬时燃油率";"1.567262500667261";"L/h";"31.2457728";"121.3884051";
"39951.8816026";"瞬时引擎功率(根据燃油消耗)";"6.13144106697891";"hp";"31.2457728";"121.3884051";
"39951.8816026";"MAF空气流量";"4.65";"g/sec";"31.2457728";"121.3884051";
"39951.8816026";"Power from MAF";"5.58";"hp";"31.2457728";"121.3884051";
"39951.994772";"车辆加速";"0";"g";"31.2457728";"121.3884051";
"39951.994772";"车速";"0";"km/h";"31.2457728";"121.3884051";
"39951.994772";"平均速度";"0";"km/h";"31.2457728";"121.3884051";
"39951.994772";"行驶距离";"0";"km";"31.2457728";"121.3884051";
"39951.994772";"行驶距离 (今天)";"0";"km";"31.2457728";"121.3884051";
"39951.994772";"行驶距离 (周)";"0";"km";"31.2457728";"121.3884051";
"39951.994772";"行驶距离（总计）";"0";"km";"31.2457728";"121.3884051";
"39952.1211896";"发动机转速";"610";"rpm";"31.2457728";"121.3884051";
"39952.1211896";"发动机转速 x1000";"0.6";"rpm";"31.2457728";"121.3884051";
"39952.2426458";"指令空燃比";"14.63156736";"";"31.2457728";"121.3884051";
"39952.6739136";"节气门位置";"19.607843137254903";"%";"31.2457728";"121.3884051";
"39952.6739136";"节油器（基于燃油系统状态和油门位置）";"1";"";"31.2457728";"121.3884051";
"39952.7831273";"计算的瞬时燃油率";"1.5234465597883913";"L/h";"31.2457728";"121.3884051";
"39952.7831273";"燃料花费";"0.00038374709047247666";"$";"31.2457728";"121.3884051";
"39952.7831273";"燃料花费 (今天)";"0.0003838";"$";"31.2457728";"121.3884051";
"39952.7831273";"燃料花费 (周)";"0.0003838";"$";"31.2457728";"121.3884051";
"39952.7831273";"燃料花费（总计）";"0.0003838";"$";"31.2457728";"121.3884051";
"39952.7831273";"瞬时引擎功率(根据燃油消耗)";"5.9600244349988545";"hp";"31.2457728";"121.3884051";
"39952.7831273";"已用油量";"0.0003799476143291848";"L";"31.2457728";"121.3884051";
"39952.7831273";"已用油量 (今天)";"0.00038";"L";"31.2457728";"121.3884051";
"39952.7831273";"已用油量 (周)";"0.00038";"L";"31.2457728";"121.3884051";
"39952.7831273";"已用油量（总计）";"0.00038";"L";"31.2457728";"121.3884051";
"39952.7831273";"MAF空气流量";"4.5200000000000005";"g/sec";"31.2457728";"121.3884051";
"39952.7831273";"Power from MAF";"5.424";"hp";"31.2457728";"121.3884051";
"39952.8472668";"车辆加速";"0";"g";"31.2457728";"121.3884051";
"39952.8472668";"车速";"0";"km/h";"31.2457728";"121.3884051";
"39952.8472668";"平均速度";"0";"km/h";"31.2457728";"121.3884051";
"39952.8472668";"行驶距离";"0";"km";"31.2457728";"121.3884051";
"39952.8472668";"行驶距离 (今天)";"0";"km";"31.2457728";"121.3884051";
"39952.8472668";"行驶距离 (周)";"0";"km";"31.2457728";"121.3884051";
"39952.8472668";"行驶距离（总计）";"0";"km";"31.2457728";"121.3884051";
"39952.9376434";"发动机转速";"611";"rpm";"31.2457728";"121.3884051";
"39952.9376434";"发动机转速 x1000";"0.6";"rpm";"31.2457728";"121.3884051";
"39952.986874";"指令空燃比";"14.63156736";"";"31.2457728";"121.3884051";
"39953.0817404";"节气门位置";"19.607843137254903";"%";"31.2457728";"121.3884051";
"39953.0817404";"节油器（基于燃油系统状态和油门位置）";"1";"";"31.2457728";"121.3884051";
"39953.1308219";"计算的瞬时燃油率";"1.533557930760438";"L/h";"31.2457728";"121.3884051";
"39953.1308219";"燃料花费";"0.0005334775074454414";"$";"31.2457728";"121.3884051";
"39953.1308219";"燃料花费 (今天)";"0.00053328";"$";"31.2457728";"121.3884051";
"39953.1308219";"燃料花费 (周)";"0.00053328";"$";"31.2457728";"121.3884051";
"39953.1308219";"燃料花费（总计）";"0.00053328";"$";"31.2457728";"121.3884051";
"39953.1308219";"瞬时引擎功率(根据燃油消耗)";"5.9995821193019445";"hp";"31.2457728";"121.3884051";
"39953.1308219";"已用油量";"0.0005281955519261796";"L";"31.2457728";"121.3884051";
"39953.1308219";"已用油量 (今天)";"0.000528";"L";"31.2457728";"121.3884051";
"39953.1308219";"已用油量 (周)";"0.000528";"L";"31.2457728";"121.3884051";
"39953.1308219";"已用油量（总计）";"0.000528";"L";"31.2457728";"121.3884051";
"39953.1308219";"MAF空气流量";"4.55";"g/sec";"31.2457728";"121.3884051";
"39953.1308219";"Power from MAF";"5.46";"hp";"31.2457728";"121.3884051";
"39953.2018898";"车辆加速";"0";"g";"31.2457728";"121.3884051";
"39953.2018898";"车速";"0";"km/h";"31.2457728";"121.3884051";
"39953.2018898";"平均速度";"0";"km/h";"31.2457728";"121.3884051";
"39953.2018898";"行驶距离";"0";"km";"31.2457728";"121.3884051";
"39953.2018898";"行驶距离 (今天)";"0";"km";"31.2457728";"121.3884051";
"39953.2018898";"行驶距离 (周)";"0";"km";"31.2457728";"121.3884051";
"39953.2018898";"行驶距离（总计）";"0";"km";"31.2457728";"121.3884051";
"39953.2786938";"发动机转速";"620";"rpm";"31.2457728";"121.3884051";
"39953.2786938";"发动机转速 x1000";"0.6";"rpm";"31.2457728";"121.3884051";
"39953.3177882";"指令空燃比";"14.63156736";"";"31.2457728";"121.3884051";
"39953.4142178";"节气门位置";"19.607843137254903";"%";"31.2457728";"121.3884051";
"39953.4142178";"节油器（基于燃油系统状态和油门位置）";"1";"";"31.2457728";"121.3884051";
"39953.4634544";"计算的瞬时燃油率";"1.486371532890886";"L/h";"31.2457728";"121.3884051";
"39953.4634544";"燃料花费";"0.0006721016953689946";"$";"31.2457728";"121.3884051";
"39953.4634544";"燃料花费 (今天)";"0.00067165";"$";"31.2457728";"121.3884051";
"39953.4634544";"燃料花费 (周)";"0.00067165";"$";"31.2457728";"121.3884051";
"39953.4634544";"燃料花费（总计）";"0.00067165";"$";"31.2457728";"121.3884051";
"39953.4634544";"瞬时引擎功率(根据燃油消耗)";"5.8149795925541925";"hp";"31.2457728";"121.3884051";
"39953.4634544";"已用油量";"0.0006654472231376184";"L";"31.2457728";"121.3884051";
"39953.4634544";"已用油量 (今天)";"0.000665";"L";"31.2457728";"121.3884051";
"39953.4634544";"已用油量 (周)";"0.000665";"L";"31.2457728";"121.3884051";
"39953.4634544";"已用油量（总计）";"0.000665";"L";"31.2457728";"121.3884051";
"39953.4634544";"MAF空气流量";"4.41";"g/sec";"31.2457728";"121.3884051";
"39953.4634544";"Power from MAF";"5.292";"hp";"31.2457728";"121.3884051";
"39953.53129";"车辆加速";"0";"g";"31.2457728";"121.3884051";
"39953.53129";"车速";"0";"km/h";"31.2457728";"121.3884051";
"39953.53129";"平均速度";"0";"km/h";"31.2457728";"121.3884051";
"39953.53129";"行驶距离";"0";"km";"31.2457728";"121.3884051";
"39953.53129";"行驶距离 (今天)";"0";"km";"31.2457728";"121.3884051";
"39953.53129";"行驶距离 (周)";"0";"km";"31.2457728";"121.3884051";
"39953.53129";"行驶距离（总计）";"0";"km";"31.2457728";"121.3884051";
"39953.606267";"发动机转速";"617";"rpm";"31.2457728";"121.3884051";
"39953.606267";"发动机转速 x1000";"0.6";"rpm";"31.2457728";"121.3884051";
"39953.6587237";"指令空燃比";"14.63156736";"";"31.2457728";"121.3884051";
"39953.8056562";"节气门位置";"19.607843137254903";"%";"31.2457728";"121.3884051";
"39953.8056562";"节油器（基于燃油系统状态和油门位置）";"1";"";"31.2457728";"121.3884051";
"39953.9617576";"计算的瞬时燃油率";"1.5234465597883913";"L/h";"31.2457728";"121.3884051";
"39953.9617576";"燃料花费";"0.0008850861793498004";"$";"31.2457728";"121.3884051";
"39953.9617576";"燃料花费 (今天)";"0.0008847600000000001";"$";"31.2457728";"121.3884051";
"39953.9617576";"燃料花费 (周)";"0.0008847600000000001";"$";"31.2457728";"121.3884051";
"39953.9617576";"燃料花费（总计）";"0.0008847600000000001";"$";"31.2457728";"121.3884051";
"39953.9617576";"瞬时引擎功率(根据燃油消耗)";"5.9600244349988545";"hp";"31.2457728";"121.3884051";
"39953.9617576";"已用油量";"0.0008763229498512875";"L";"31.2457728";"121.3884051";
"39953.9617576";"已用油量 (今天)";"0.000876";"L";"31.2457728";"121.3884051";
"39953.9617576";"已用油量 (周)";"0.000876";"L";"31.2457728";"121.3884051";
"39953.9617576";"已用油量（总计）";"0.000876";"L";"31.2457728";"121.3884051";
"39953.9617576";"MAF空气流量";"4.5200000000000005";"g/sec";"31.2457728";"121.3884051";
"39953.9617576";"Power from MAF";"5.424";"hp";"31.2457728";"121.3884051";
"39954.1384976";"车辆加速";"0";"g";"31.2457728";"121.3884051";
"39954.1384976";"车速";"0";"km/h";"31.2457728";"121.3884051";
"39954.1384976";"平均速度";"0";"km/h";"31.2457728";"121.3884051";
"39954.1384976";"行驶距离";"0";"km";"31.2457728";"121.3884051";
"39954.1384976";"行驶距离 (今天)";"0";"km";"31.2457728";"121.3884051";
"39954.1384976";"行驶距离 (周)";"0";"km";"31.2457728";"121.3884051";
"39954.1384976";"行驶距离（总计）";"0";"km";"31.2457728";"121.3884051";
"39954.202209";"发动机转速";"596";"rpm";"31.2457728";"121.3884051";
"39954.202209";"发动机转速 x1000";"0.6";"rpm";"31.2457728";"121.3884051";
"39954.2530808";"指令空燃比";"14.63156736";"";"31.2457728";"121.3884051";
"39954.3497717";"节气门位置";"19.607843137254903";"%";"31.2457728";"121.3884051";
"39954.3497717";"节油器（基于燃油系统状态和油门位置）";"1";"";"31.2457728";"121.3884051";
"39954.3975459";"计算的瞬时燃油率";"1.4998533608536149";"L/h";"31.2457728";"121.3884051";
"39954.3975459";"燃料花费";"0.0010684598848380487";"$";"31.2457728";"121.3884051";
"39954.3975459";"燃料花费 (今天)";"0.00106858";"$";"31.2457728";"121.3884051";
"39954.3975459";"燃料花费 (周)";"0.00106858";"$";"31.2457728";"121.3884051";
"39954.3975459";"燃料花费（总计）";"0.00106858";"$";"31.2457728";"121.3884051";
"39954.3975459";"瞬时引擎功率(根据燃油消耗)";"5.867723171624977";"hp";"31.2457728";"121.3884051";
"39954.3975459";"已用油量";"0.001057881074097078";"L";"31.2457728";"121.3884051";
"39954.3975459";"已用油量 (今天)";"0.001058";"L";"31.2457728";"121.3884051";
"39954.3975459";"已用油量 (周)";"0.001058";"L";"31.2457728";"121.3884051";
"39954.3975459";"已用油量（总计）";"0.001058";"L";"31.2457728";"121.3884051";
"39954.3975459";"MAF空气流量";"4.45";"g/sec";"31.2457728";"121.3884051";
"39954.3975459";"Power from MAF";"5.34";"hp";"31.2457728";"121.3884051";
"39954.4596573";"车辆加速";"0";"g";"31.2457728";"121.3884051";
"39954.4596573";"车速";"0";"km/h";"31.2457728";"121.3884051";
"39954.4596573";"平均速度";"0";"km/h";"31.2457728";"121.3884051";
"39954.4596573";"行驶距离";"0";"km";"31.2457728";"121.3884051";
"39954.4596573";"行驶距离 (今天)";"0";"km";"31.2457728";"121.3884051";
"39954.4596573";"行驶距离 (周)";"0";"km";"31.2457728";"121.3884051";
"39954.4596573";"行驶距离（总计）";"0";"km";"31.2457728";"121.3884051";
"39954.5384617";"发动机转速";"605";"rpm";"31.2457728";"121.3884051";
"39954.5384617";"发动机转速 x1000";"0.6";"rpm";"31.2457728";"121.3884051";
"39954.5906242";"指令空燃比";"14.63156736";"";"31.2457728";"121.3884051";
"39954.6866792";"节气门位置";"19.607843137254903";"%";"31.2457728";"121.3884051";
"39954.6866792";"节油器（基于燃油系统状态和油门位置）";"1";"";"31.2457728";"121.3884051";
"39954.7471125";"计算的瞬时燃油率";"1.4560374199747455";"L/h";"31.2457728";"121.3884051";
"39954.7471125";"燃料花费";"0.0012111871197541051";"$";"31.2457728";"121.3884051";
"39954.7471125";"燃料花费 (今天)";"0.00121099";"$";"31.2457728";"121.3884051";
"39954.7471125";"燃料花费 (周)";"0.00121099";"$";"31.2457728";"121.3884051";
"39954.7471125";"燃料花费（总计）";"0.00121099";"$";"31.2457728";"121.3884051";
"39954.7471125";"瞬时引擎功率(根据燃油消耗)";"5.696306539644922";"hp";"31.2457728";"121.3884051";
"39954.7471125";"已用油量";"0.0011991951680733713";"L";"31.2457728";"121.3884051";
"39954.7471125";"已用油量 (今天)";"0.001199";"L";"31.2457728";"121.3884051";
"39954.7471125";"已用油量 (周)";"0.001199";"L";"31.2457728";"121.3884051";
"39954.7471125";"已用油量（总计）";"0.001199";"L";"31.2457728";"121.3884051";
"39954.7471125";"MAF空气流量";"4.32";"g/sec";"31.2457728";"121.3884051";
"39954.7471125";"Power from MAF";"5.184";"hp";"31.2457728";"121.3884051";
"39954.8138161";"车辆加速";"0";"g";"31.2457728";"121.3884051";
"39954.8138161";"车速";"0";"km/h";"31.2457728";"121.3884051";
"39954.8138161";"平均速度";"0";"km/h";"31.2457728";"121.3884051";
"39954.8138161";"行驶距离";"0";"km";"31.2457728";"121.3884051";
"39954.8138161";"行驶距离 (今天)";"0";"km";"31.2457728";"121.3884051";
"39954.8138161";"行驶距离 (周)";"0";"km";"31.2457728";"121.3884051";
"39954.8138161";"行驶距离（总计）";"0";"km";"31.2457728";"121.3884051";
"39954.8906689";"发动机转速";"606";"rpm";"31.2457728";"121.3884051";
"39954.8906689";"发动机转速 x1000";"0.6";"rpm";"31.2457728";"121.3884051";
"39954.943437";"指令空燃比";"14.63156736";"";"31.2457728";"121.3884051";
"39955.0430441";"节气门位置";"19.607843137254903";"%";"31.2457728";"121.3884051";
"39955.0430441";"节油器（基于燃油系统状态和油门位置）";"1";"";"31.2457728";"121.3884051";
"39955.0901707";"计算的瞬时燃油率";"1.4661487909467923";"L/h";"31.2457728";"121.3884051";
"39955.0901707";"燃料花费";"0.0013522970687175398";"$";"31.2457728";"121.3884051";
"39955.0901707";"燃料花费 (今天)";"0.00135239";"$";"31.2457728";"121.3884051";
"39955.0901707";"燃料花费 (周)";"0.00135239";"$";"31.2457728";"121.3884051";
"39955.0901707";"燃料花费（总计）";"0.00135239";"$";"31.2457728";"121.3884051";
"39955.0901707";"瞬时引擎功率(根据燃油消耗)";"5.735864223948012";"hp";"31.2457728";"121.3884051";
"39955.0901707";"已用油量";"0.0013389079888292473";"L";"31.2457728";"121.3884051";
"39955.0901707";"已用油量 (今天)";"0.001339";"L";"31.2457728";"121.3884051";
"39955.0901707";"已用油量 (周)";"0.001339";"L";"31.2457728";"121.3884051";
"39955.0901707";"已用油量（总计）";"0.001339";"L";"31.2457728";"121.3884051";
"39955.0901707";"MAF空气流量";"4.3500000000000005";"g/sec";"31.2457728";"121.3884051";
"39955.0901707";"Power from MAF";"5.220000000000001";"hp";"31.2457728";"121.3884051";
"39955.2342015";"车辆加速";"0";"g";"31.2457728";"121.3884051";
"39955.2342015";"车速";"0";"km/h";"31.2457728";"121.3884051";
"39955.2342015";"平均速度";"0";"km/h";"31.2457728";"121.3884051";
"39955.2342015";"行驶距离";"0";"km";"31.2457728";"121.3884051";
"39955.2342015";"行驶距离 (今天)";"0";"km";"31.2457728";"121.3884051";
"39955.2342015";"行驶距离 (周)";"0";"km";"31.2457728";"121.3884051";
"39955.2342015";"行驶距离（总计）";"0";"km";"31.2457728";"121.3884051";
"39955.3857627";"发动机转速";"598";"rpm";"31.2457728";"121.3884051";
"39955.3857627";"发动机转速 x1000";"0.6";"rpm";"31.2457728";"121.3884051";
"39955.5791647";"指令空燃比";"14.63156736";"";"31.2457728";"121.3884051";
"39955.7235843";"节气门位置";"19.607843137254903";"%";"31.2457728";"121.3884051";
"39955.7235843";"节油器（基于燃油系统状态和油门位置）";"1";"";"31.2457728";"121.3884051";
"39955.7713716";"计算的瞬时燃油率";"1.5167056458070263";"L/h";"31.2457728";"121.3884051";
"39955.7713716";"燃料花费";"0.001642240274493849";"$";"31.2457728";"121.3884051";
"39955.7713716";"燃料花费 (今天)";"0.00164226";"$";"31.2457728";"121.3884051";
"39955.7713716";"燃料花费 (周)";"0.00164226";"$";"31.2457728";"121.3884051";
"39955.7713716";"燃料花费（总计）";"0.00164226";"$";"31.2457728";"121.3884051";
"39955.7713716";"瞬时引擎功率(根据燃油消耗)";"5.933652645463459";"hp";"31.2457728";"121.3884051";
"39955.7713716";"已用油量";"0.00162598046979589";"L";"31.2457728";"121.3884051";
"39955.7713716";"已用油量 (今天)";"0.001626";"L";"31.2457728";"121.3884051";
"39955.7713716";"已用油量 (周)";"0.001626";"L";"31.2457728";"121.3884051";
"39955.7713716";"已用油量（总计）";"0.001626";"L";"31.2457728";"121.3884051";
"39955.7713716";"MAF空气流量";"4.5";"g/sec";"31.2457728";"121.3884051";
"39955.7713716";"Power from MAF";"5.3999999999999995";"hp";"31.2457728";"121.3884051";
"39955.8579908";"车辆加速";"0";"g";"31.2457728";"121.3884051";
"39955.8579908";"车速";"0";"km/h";"31.2457728";"121.3884051";
"39955.8579908";"平均速度";"0";"km/h";"31.2457728";"121.3884051";
"39955.8579908";"行驶距离";"0";"km";"31.2457728";"121.3884051";
"39955.8579908";"行驶距离 (今天)";"0";"km";"31.2457728";"121.3884051";
"39955.8579908";"行驶距离 (周)";"0";"km";"31.2457728";"121.3884051";
"39955.8579908";"行驶距离（总计）";"0";"km";"31.2457728";"121.3884051";
"39955.9477145";"发动机转速";"598";"rpm";"31.2457728";"121.3884051";
"39955.9477145";"发动机转速 x1000";"0.6";"rpm";"31.2457728";"121.3884051";
"39956.0345147";"指令空燃比";"14.63156736";"";"31.2457728";"121.3884051";
"39956.1674861";"节气门位置";"19.607843137254903";"%";"31.2457728";"121.3884051";
"39956.1674861";"节油器（基于燃油系统状态和油门位置）";"1";"";"31.2457728";"121.3884051";
"39956.263507";"计算的瞬时燃油率";"1.4897419898815683";"L/h";"31.2457728";"121.3884051";
"39956.263507";"燃料花费";"0.001848125560149729";"$";"31.2457728";"121.3884051";
"39956.263507";"燃料花费 (今天)";"0.0018483";"$";"31.2457728";"121.3884051";
"39956.263507";"燃料花费 (周)";"0.0018483";"$";"31.2457728";"121.3884051";
"39956.263507";"燃料花费（总计）";"0.0018483";"$";"31.2457728";"121.3884051";
"39956.263507";"瞬时引擎功率(根据燃油消耗)";"5.828165487321888";"hp";"31.2457728";"121.3884051";
"39956.263507";"已用油量";"0.0018298272872769594";"L";"31.2457728";"121.3884051";
"39956.263507";"已用油量 (今天)";"0.00183";"L";"31.2457728";"121.3884051";
"39956.263507";"已用油量 (周)";"0.00183";"L";"31.2457728";"121.3884051";
"39956.263507";"已用油量（总计）";"0.00183";"L";"31.2457728";"121.3884051";
"39956.263507";"MAF空气流量";"4.42";"g/sec";"31.2457728";"121.3884051";
"39956.263507";"Power from MAF";"5.303999999999999";"hp";"31.2457728";"121.3884051";
"39956.3342048";"车辆加速";"0";"g";"31.2457728";"121.3884051";
"39956.3342048";"车速";"0";"km/h";"31.2457728";"121.3884051";
"39956.3342048";"平均速度";"0";"km/h";"31.2457728";"121.3884051";
"39956.3342048";"行驶距离";"0";"km";"31.2457728";"121.3884051";
"39956.3342048";"行驶距离 (今天)";"0";"km";"31.2457728";"121.3884051";
"39956.3342048";"行驶距离 (周)";"0";"km";"31.2457728";"121.3884051";
"39956.3342048";"行驶距离（总计）";"0";"km";"31.2457728";"121.3884051";
"39956.4296045";"发动机转速";"605";"rpm";"31.2457728";"121.3884051";
"39956.4296045";"发动机转速 x1000";"0.6";"rpm";"31.2457728";"121.3884051";
"39956.4775841";"指令空燃比";"14.63156736";"";"31.2457728";"121.3884051";
"39956.7189522";"节气门位置";"19.607843137254903";"%";"31.2457728";"121.3884051";
"39956.7189522";"节油器（基于燃油系统状态和油门位置）";"1";"";"31.2457728";"121.3884051";
"39962.7385048";"OBD模块电压";"12.8";"V";"31.2457728";"121.3884051";
"39962.8712127";"计算出的发动机负荷值";"32.15686274509804";"%";"31.2457728";"121.3884051";
"39963.0176544";"冷却液温度";"51";"℃";"31.2457728";"121.3884051";
"39963.1621954";"短期燃油修正% - 单元1";"0.78125";"%";"31.2457728";"121.3884051";
"39963.2708107";"长期燃油修正% - 单元1";"0";"%";"31.2457728";"121.3884051";
"39963.3777606";"短期燃油修正% - 单元2";"-5.46875";"%";"31.2457728";"121.3884051";
"39963.5714819";"长期燃油修正% - 单元2";"0";"%";"31.2457728";"121.3884051";
"39963.694362";"燃油压力";"294";"kPa";"31.2457728";"121.3884051";
"39963.9855833";"计算增压";"-0.56325";"bar";"31.2457728";"121.3884051";
"39963.9855833";"进气歧管绝对压力";"45";"kPa";"31.2457728";"121.3884051";
"39964.0979395";"发动机转速";"591";"rpm";"31.2457728";"121.3884051";
"39964.0979395";"发动机转速 x1000";"0.6";"rpm";"31.2457728";"121.3884051";
"39964.1464502";"OBD模块电压";"12.8";"V";"31.2457728";"121.3884051";
"39964.2548362";"计算出的发动机负荷值";"33.333333333333336";"%";"31.2457728";"121.3884051";
"39964.362565";"短期燃油修正% - 单元1";"0.78125";"%";"31.2457728";"121.3884051";
"39964.4714954";"长期燃油修正% - 单元1";"0";"%";"31.2457728";"121.3884051";
"39964.5704415";"短期燃油修正% - 单元2";"-5.46875";"%";"31.2457728";"121.3884051";
"39964.6796328";"长期燃油修正% - 单元2";"0";"%";"31.2457728";"121.3884051";
"39964.7915063";"燃油压力";"300";"kPa";"31.2457728";"121.3884051";
"39964.9020179";"计算增压";"-0.55325";"bar";"31.2457728";"121.3884051";
"39964.9020179";"进气歧管绝对压力";"46";"kPa";"31.2457728";"121.3884051";
"39965.0816648";"气压";"100";"kPa";"31.2457728";"121.3884051";
"39965.3339524";"发动机转速";"589";"rpm";"31.2457728";"121.3884051";
"39965.3339524";"发动机转速 x1000";"0.6";"rpm";"31.2457728";"121.3884051";
"39965.3841611";"OBD模块电压";"12.9";"V";"31.2457728";"121.3884051";
"39965.4350379";"计算出的发动机负荷值";"32.549019607843135";"%";"31.2457728";"121.3884051";
"39965.4828986";"冷却液温度";"52";"℃";"31.2457728";"121.3884051";
"39965.52955";"短期燃油修正% - 单元1";"-5.46875";"%";"31.2457728";"121.3884051";
"39965.5779535";"长期燃油修正% - 单元1";"0";"%";"31.2457728";"121.3884051";
"39965.6271524";"短期燃油修正% - 单元2";"-0.78125";"%";"31.2457728";"121.3884051";
"39965.6738731";"长期燃油修正% - 单元2";"0";"%";"31.2457728";"121.3884051";
"39965.7231717";"燃油压力";"297";"kPa";"31.2457728";"121.3884051";
"39965.7712745";"计算增压";"-0.54";"bar";"31.2457728";"121.3884051";
"39965.7712745";"进气歧管绝对压力";"46";"kPa";"31.2457728";"121.3884051";
"39965.8237188";"发动机转速";"582";"rpm";"31.2457728";"121.3884051";
"39965.8237188";"发动机转速 x1000";"0.6";"rpm";"31.2457728";"121.3884051";
"39965.8740234";"OBD模块电压";"12.8";"V";"31.2457728";"121.3884051";
"39965.9212874";"计算出的发动机负荷值";"32.94117647058823";"%";"31.2457728";"121.3884051";
"39966.0418622";"短期燃油修正% - 单元1";"0";"%";"31.2457728";"121.3884051";
"39966.1514315";"短期燃油修正% - 单元2";"-5.46875";"%";"31.2457728";"121.3884051";
"39966.258294";"长期燃油修正% - 单元2";"0";"%";"31.2457728";"121.3884051";
"39966.4029364";"燃油压力";"294";"kPa";"31.2457728";"121.3884051";
"39966.6988698";"计算增压";"-0.55";"bar";"31.2457728";"121.3884051";
"39966.6988698";"进气歧管绝对压力";"45";"kPa";"31.2457728";"121.3884051";
"39966.7982538";"发动机转速";"596";"rpm";"31.2457728";"121.3884051";
"39966.7982538";"发动机转速 x1000";"0.6";"rpm";"31.2457728";"121.3884051";
"39966.8953217";"车辆加速";"0";"g";"31.2457728";"121.3884051";
"39966.8953217";"车速";"0";"km/h";"31.2457728";"121.3884051";
