"SECONDS";"PID";"VALUE";"UNITS";
"46329.7950813";"已用油量";"0.00019498376622236602";"L";
"46329.7950813";"已用油量 (今天)";"0.004297";"L";
"46329.7950813";"已用油量 (周)";"0.39665300000000003";"L";
"46329.7950813";"已用油量（总计）";"0.39665300000000003";"L";
"46329.7950813";"MAF空气流量";"5.2700000000000005";"g/sec";
"46329.7950813";"Power from MAF";"6.324000000000001";"hp";
"46329.9322508";"节气门位置";"21.176470588235293";"%";
"46329.9322508";"节油器（基于燃油系统状态和油门位置）";"1";"";
"46329.9322508";"指令空燃比";"14.63156736";"";
"46330.0388246";"车辆加速";"0.0026974633544119093";"g";
"46330.0388246";"车速";"30";"km/h";
"46330.0388246";"发动机转速";"932";"rpm";
"46330.0388246";"发动机转速 x1000";"0.9";"rpm";
"46330.0388246";"计算的瞬时燃油率";"2.002051452465275";"L/h";
"46330.0388246";"平均速度";"30.606870802298587";"km/h";
"46330.0388246";"平均油耗";"6.238690428122471";"L/100km";
"46330.0388246";"平均油耗 (今天)";"10.551866923681015";"L/100km";
"46330.0388246";"平均油耗 (周)";"24.874449196982642";"L/100km";
"46330.0388246";"平均油耗 10 sec";"10.572364888768977";"L/100km";
"46330.0388246";"平均油耗（总计）";"24.874449196982642";"L/100km";
"46330.0388246";"燃料花费";"0.0003356174097405939";"$";
"46330.0388246";"燃料花费 (今天)";"0.00447834";"$";
"46330.0388246";"燃料花费 (周)";"0.4007579";"$";
"46330.0388246";"燃料花费（总计）";"0.4007579";"$";
"46330.0388246";"瞬时引擎功率(根据燃油消耗)";"7.8324214920117665";"hp";
"46330.0388246";"瞬时油耗（升/100公里）";"5.920769446965207";"L/100km";
"46330.0388246";"行驶距离";"0.005326349638888889";"km";
"46330.0388246";"行驶距离 (今天)";"0.042021";"km";
"46330.0388246";"行驶距离 (周)";"1.5951710000000001";"km";
"46330.0388246";"行驶距离（总计）";"1.5951710000000001";"km";
"46330.0388246";"已用油量";"0.0003322944650896969";"L";
"46330.0388246";"已用油量 (今天)";"0.004434";"L";
"46330.0388246";"已用油量 (周)";"0.39679000000000003";"L";
"46330.0388246";"已用油量（总计）";"0.39679000000000003";"L";
"46330.0388246";"MAF空气流量";"5.94";"g/sec";
"46330.0388246";"Power from MAF";"7.128";"hp";
"46330.1796899";"节气门位置";"21.176470588235293";"%";
"46330.1796899";"节油器（基于燃油系统状态和油门位置）";"1";"";
"46330.1796899";"指令空燃比";"14.63156736";"";
"46330.2765536";"车辆加速";"0.002882594713494736";"g";
"46330.2765536";"车速";"28";"km/h";
"46330.2765536";"发动机转速";"1008";"rpm";
"46330.2765536";"发动机转速 x1000";"1";"rpm";
"46330.2765536";"计算的瞬时燃油率";"1.968346882558452";"L/h";
"46330.2765536";"平均速度";"29.888009569205416";"km/h";
"46330.2765536";"平均油耗";"6.444492695150919";"L/100km";
"46330.2765536";"平均油耗 (今天)";"10.404321269030905";"L/100km";
"46330.2765536";"平均油耗 (周)";"24.853759425331837";"L/100km";
"46330.2765536";"平均油耗 10 sec";"10.05638086456672";"L/100km";
"46330.2765536";"平均油耗（总计）";"24.853759425331837";"L/100km";
"46330.2765536";"燃料花费";"0.00046744784407076805";"$";
"46330.2765536";"燃料花费 (今天)";"0.00461065";"$";
"46330.2765536";"燃料花费 (周)";"0.40089020999999997";"$";
"46330.2765536";"燃料花费（总计）";"0.40089020999999997";"$";
"46330.2765536";"瞬时引擎功率(根据燃油消耗)";"7.700562544334802";"hp";
"46330.2765536";"瞬时油耗（升/100公里）";"7.150183758804554";"L/100km";
"46330.2765536";"行驶距离";"0.007181630416666667";"km";
"46330.2765536";"行驶距离 (今天)";"0.043876";"km";
"46330.2765536";"行驶距离 (周)";"1.597026";"km";
"46330.2765536";"行驶距离（总计）";"1.597026";"km";
"46330.2765536";"已用油量";"0.00046281964759481984";"L";
"46330.2765536";"已用油量 (今天)";"0.004565";"L";
"46330.2765536";"已用油量 (周)";"0.396921";"L";
"46330.2765536";"已用油量（总计）";"0.396921";"L";
"46330.2765536";"MAF空气流量";"5.84";"g/sec";
"46330.2765536";"Power from MAF";"7.008";"hp";
"46330.4192312";"节气门位置";"20.784313725490197";"%";
"46330.4192312";"节油器（基于燃油系统状态和油门位置）";"1";"";
"46330.4192312";"指令空燃比";"14.63156736";"";
"46330.5267933";"车辆加速";"-0.20387175904071325";"g";
"46330.5267933";"车速";"26";"km/h";
"46330.5267933";"发动机转速";"1084";"rpm";
"46330.5267933";"发动机转速 x1000";"1.1";"rpm";
"46330.5267933";"计算的瞬时燃油率";"1.9043081997354891";"L/h";
"46330.5267933";"平均速度";"29.02368267316327";"km/h";
"46330.5267933";"平均油耗";"6.764754302454966";"L/100km";
"46330.5267933";"平均油耗 (今天)";"10.312732688011913";"L/100km";
"46330.5267933";"平均油耗 (周)";"24.835002489348344";"L/100km";
"46330.5267933";"平均油耗 10 sec";"9.690644579887636";"L/100km";
"46330.5267933";"平均油耗（总计）";"24.835002489348344";"L/100km";
"46330.5267933";"燃料花费";"0.0006126932422548403";"$";
"46330.5267933";"燃料花费 (今天)";"0.004756089999999999";"$";
"46330.5267933";"燃料花费 (周)";"0.40103564999999997";"$";
"46330.5267933";"燃料花费（总计）";"0.40103564999999997";"$";
"46330.5267933";"瞬时引擎功率(根据燃油消耗)";"7.450030543748568";"hp";
"46330.5267933";"瞬时油耗（升/100公里）";"7.570564932917123";"L/100km";
"46330.5267933";"行驶距离";"0.008967464972222223";"km";
"46330.5267933";"行驶距离 (今天)";"0.045662";"km";
"46330.5267933";"行驶距离 (周)";"1.5988120000000001";"km";
"46330.5267933";"行驶距离（总计）";"1.5988120000000001";"km";
"46330.5267933";"已用油量";"0.0006066269725295448";"L";
"46330.5267933";"已用油量 (今天)";"0.004709";"L";
"46330.5267933";"已用油量 (周)";"0.39706500000000006";"L";
"46330.5267933";"已用油量（总计）";"0.39706500000000006";"L";
"46330.5267933";"MAF空气流量";"5.65";"g/sec";
"46330.5267933";"Power from MAF";"6.78";"hp";
"46330.7032062";"节气门位置";"20.784313725490197";"%";
"46330.7032062";"节油器（基于燃油系统状态和油门位置）";"1";"";
"46330.7032062";"指令空燃比";"14.63156736";"";
"46330.9836032";"车辆加速";"-0.16682752686865826";"g";
"46330.9836032";"车速";"24";"km/h";
"46330.9836032";"发动机转速";"1105";"rpm";
"46330.9836032";"发动机转速 x1000";"1.1";"rpm";
"46330.9836032";"计算的瞬时燃油率";"1.9110491137168533";"L/h";
"46330.9836032";"平均速度";"27.55171480530479";"km/h";
"46330.9836032";"平均油耗";"7.0731102079846675";"L/100km";
"46330.9836032";"平均油耗 (今天)";"10.165179029444957";"L/100km";
"46330.9836032";"平均油耗 (周)";"24.80265437281703";"L/100km";
"46330.9836032";"平均油耗 10 sec";"9.428891142697339";"L/100km";
"46330.9836032";"平均油耗（总计）";"24.80265437281703";"L/100km";
"46330.9836032";"燃料花费";"0.0008601649029030781";"$";
"46330.9836032";"燃料花费 (今天)";"0.00500354";"$";
"46330.9836032";"燃料花费 (周)";"0.40128309999999995";"$";
"46330.9836032";"燃料花费（总计）";"0.40128309999999995";"$";
"46330.9836032";"瞬时引擎功率(根据燃油消耗)";"7.476402333283958";"hp";
"46330.9836032";"瞬时油耗（升/100公里）";"7.934617498897872";"L/100km";
"46330.9836032";"行驶距离";"0.012040649638888888";"km";
"46330.9836032";"行驶距离 (今天)";"0.048735";"km";
"46330.9836032";"行驶距离 (周)";"1.601885";"km";
"46330.9836032";"行驶距离（总计）";"1.601885";"km";
"46330.9836032";"已用油量";"0.0008516484187159189";"L";
"46330.9836032";"已用油量 (今天)";"0.004954";"L";
"46330.9836032";"已用油量 (周)";"0.39731000000000005";"L";
"46330.9836032";"已用油量（总计）";"0.39731000000000005";"L";
"46330.9836032";"MAF空气流量";"5.67";"g/sec";
"46330.9836032";"Power from MAF";"6.803999999999999";"hp";
"46331.1628475";"节气门位置";"20.784313725490197";"%";
"46331.1628475";"节油器（基于燃油系统状态和油门位置）";"1";"";
"46331.1628475";"指令空燃比";"14.63156736";"";
"46331.2713899";"车辆加速";"-0.18384713806561329";"g";
"46331.2713899";"车速";"22";"km/h";
"46331.2713899";"发动机转速";"1089";"rpm";
"46331.2713899";"发动机转速 x1000";"1.1";"rpm";
"46331.2713899";"计算的瞬时燃油率";"1.9582355115864054";"L/h";
"46331.2713899";"平均速度";"26.667117026303366";"km/h";
"46331.2713899";"平均油耗";"7.30414824010936";"L/100km";
"46331.2713899";"平均油耗 (今天)";"10.117293352058073";"L/100km";
"46331.2713899";"平均油耗 (周)";"24.784514877094136";"L/100km";
"46331.2713899";"平均油耗 10 sec";"9.235732697007522";"L/100km";
"46331.2713899";"平均油耗（总计）";"24.784514877094136";"L/100km";
"46331.2713899";"燃料花费";"0.001022696481250152";"$";
"46331.2713899";"燃料花费 (今天)";"0.0051661499999999996";"$";
"46331.2713899";"燃料花费 (周)";"0.40144570999999996";"$";
"46331.2713899";"燃料花费（总计）";"0.40144570999999996";"$";
"46331.2713899";"瞬时引擎功率(根据燃油消耗)";"7.661004860031713";"hp";
"46331.2713899";"瞬时油耗（升/100公里）";"8.686586880531152";"L/100km";
"46331.2713899";"行驶距离";"0.01386295486111111";"km";
"46331.2713899";"行驶距离 (今天)";"0.050557";"km";
"46331.2713899";"行驶距离 (周)";"1.603707";"km";
"46331.2713899";"行驶距离（总计）";"1.603707";"km";
"46331.2713899";"已用油量";"0.001012570773515002";"L";
"46331.2713899";"已用油量 (今天)";"0.005115";"L";
"46331.2713899";"已用油量 (周)";"0.397471";"L";
"46331.2713899";"已用油量（总计）";"0.397471";"L";
"46331.2713899";"MAF空气流量";"5.8100000000000005";"g/sec";
"46331.2713899";"Power from MAF";"6.972";"hp";
"46331.4602929";"节气门位置";"20.784313725490197";"%";
"46331.4602929";"节油器（基于燃油系统状态和油门位置）";"1";"";
"46331.4602929";"指令空燃比";"14.63156736";"";
"46331.5668226";"车辆加速";"-0.1536719613434735";"g";
"46331.5668226";"车速";"21";"km/h";
"46331.5668226";"发动机转速";"1133";"rpm";
"46331.5668226";"发动机转速 x1000";"1.1";"rpm";
"46331.5668226";"计算的瞬时燃油率";"1.9144195707075358";"L/h";
"46331.5668226";"平均速度";"25.89341001863642";"km/h";
"46331.5668226";"平均油耗";"7.505078449497225";"L/100km";
"46331.5668226";"平均油耗 (今天)";"10.083583574010673";"L/100km";
"46331.5668226";"平均油耗 (周)";"24.767648354057755";"L/100km";
"46331.5668226";"平均油耗 10 sec";"9.091511509714996";"L/100km";
"46331.5668226";"平均油耗（总计）";"24.767648354057755";"L/100km";
"46331.5668226";"燃料花费";"0.0011816699047366007";"$";
"46331.5668226";"燃料花费 (今天)";"0.00532472";"$";
"46331.5668226";"燃料花费 (周)";"0.40160428";"$";
"46331.5668226";"燃料花费（总计）";"0.40160428";"$";
"46331.5668226";"瞬时引擎功率(根据燃油消耗)";"7.489588228051659";"hp";
"46331.5668226";"瞬时油耗（升/100公里）";"9.324931007554312";"L/100km";
"46331.5668226";"行驶距离";"0.015589046944444443";"km";
"46331.5668226";"行驶距离 (今天)";"0.052283";"km";
"46331.5668226";"行驶距离 (周)";"1.605433";"km";
"46331.5668226";"行驶距离（总计）";"1.605433";"km";
"46331.5668226";"已用油量";"0.0011699702027095056";"L";
"46331.5668226";"已用油量 (今天)";"0.005272";"L";
"46331.5668226";"已用油量 (周)";"0.39762800000000004";"L";
"46331.5668226";"已用油量（总计）";"0.39762800000000004";"L";
"46331.5668226";"MAF空气流量";"5.68";"g/sec";
"46331.5668226";"Power from MAF";"6.816";"hp";
"46331.7554507";"节气门位置";"20.392156862745097";"%";
"46331.7554507";"节油器（基于燃油系统状态和油门位置）";"1";"";
"46331.7554507";"指令空燃比";"14.63156736";"";
"46331.8516827";"车辆加速";"-0.12827689780217733";"g";
"46331.8516827";"车速";"20";"km/h";
"46331.8516827";"发动机转速";"1194";"rpm";
"46331.8516827";"发动机转速 x1000";"1.2";"rpm";
"46331.8516827";"计算的瞬时燃油率";"1.8301581459404785";"L/h";
"46331.8516827";"平均速度";"25.223326657161525";"km/h";
"46331.8516827";"平均油耗";"7.658897628675571";"L/100km";
"46331.8516827";"平均油耗 (今天)";"10.05796239875158";"L/100km";
"46331.8516827";"平均油耗 (周)";"24.752672407462953";"L/100km";
"46331.8516827";"平均油耗 10 sec";"8.981310441942734";"L/100km";
"46331.8516827";"平均油耗（总计）";"24.752672407462953";"L/100km";
"46331.8516827";"燃料花费";"0.0013253780981666834";"$";
"46331.8516827";"燃料花费 (今天)";"0.005468140000000001";"$";
"46331.8516827";"燃料花费 (周)";"0.4017477";"$";
"46331.8516827";"燃料花费（总计）";"0.4017477";"$";
"46331.8516827";"瞬时引擎功率(根据燃油消耗)";"7.159940858859242";"hp";
"46331.8516827";"瞬时油耗（升/100公里）";"9.572097853537679";"L/100km";
"46331.8516827";"行驶距离";"0.017133739166666665";"km";
"46331.8516827";"行驶距离 (今天)";"0.053828";"km";
"46331.8516827";"行驶距离 (周)";"1.606978";"km";
"46331.8516827";"行驶距离（总计）";"1.606978";"km";
"46331.8516827";"已用油量";"0.0013122555427392906";"L";
"46331.8516827";"已用油量 (今天)";"0.005414";"L";
"46331.8516827";"已用油量 (周)";"0.39777";"L";
"46331.8516827";"已用油量（总计）";"0.39777";"L";
"46331.8516827";"MAF空气流量";"5.43";"g/sec";
"46331.8516827";"Power from MAF";"6.515999999999999";"hp";
"46332.040225";"节气门位置";"20";"%";
"46332.040225";"节油器（基于燃油系统状态和油门位置）";"1";"";
"46332.040225";"指令空燃比";"14.63156736";"";
"46332.1960841";"车辆加速";"-0.14016938507071577";"g";
"46332.1960841";"车速";"18";"km/h";
"46332.1960841";"发动机转速";"1230";"rpm";
"46332.1960841";"发动机转速 x1000";"1.2";"rpm";
"46332.1960841";"计算的瞬时燃油率";"1.668376210387729";"L/h";
"46332.1960841";"平均速度";"24.32909720710625";"km/h";
"46332.1960841";"平均油耗";"7.806914924243315";"L/100km";
"46332.1960841";"平均油耗 (今天)";"10.033119735042119";"L/100km";
"46332.1960841";"平均油耗 (周)";"24.73603007634708";"L/100km";
"46332.1960841";"平均油耗 10 sec";"8.897425047821347";"L/100km";
"46332.1960841";"平均油耗（总计）";"24.73603007634708";"L/100km";
"46332.1960841";"燃料花费";"0.001487209292021476";"$";
"46332.1960841";"燃料花费 (今天)";"0.00562974";"$";
"46332.1960841";"燃料花费 (周)";"0.40190929999999997";"$";
"46332.1960841";"燃料花费（总计）";"0.40190929999999997";"$";
"46332.1960841";"瞬时引擎功率(根据燃油消耗)";"6.527017910009807";"hp";
"46332.1960841";"瞬时油耗（升/100公里）";"10.16754525522488";"L/100km";
"46332.1960841";"行驶距离";"0.018861284666666665";"km";
"46332.1960841";"行驶距离 (今天)";"0.055556";"km";
"46332.1960841";"行驶距离 (周)";"1.608706";"km";
"46332.1960841";"行驶距离（总计）";"1.608706";"km";
"46332.1960841";"已用油量";"0.001472484447546016";"L";
"46332.1960841";"已用油量 (今天)";"0.005574";"L";
"46332.1960841";"已用油量 (周)";"0.39793000000000006";"L";
"46332.1960841";"已用油量（总计）";"0.39793000000000006";"L";
"46332.1960841";"MAF空气流量";"4.95";"g/sec";
"46332.1960841";"Power from MAF";"5.94";"hp";
"46332.4913607";"节气门位置";"20.392156862745097";"%";
"46332.4913607";"节油器（基于燃油系统状态和油门位置）";"1";"";
"46332.4913607";"指令空燃比";"14.63156736";"";
"46332.6003089";"车辆加速";"-0.10657327632646539";"g";
"46332.6003089";"车速";"17";"km/h";
"46332.6003089";"发动机转速";"1069";"rpm";
"46332.6003089";"发动机转速 x1000";"1.1";"rpm";
"46332.6003089";"计算的瞬时燃油率";"1.7458967211734215";"L/h";
"46332.6003089";"平均速度";"23.419617949584875";"km/h";
"46332.6003089";"平均油耗";"8.027570573751708";"L/100km";
"46332.6003089";"平均油耗 (今天)";"10.041272660780523";"L/100km";
"46332.6003089";"平均油耗 (周)";"24.719276928149178";"L/100km";
"46332.6003089";"平均油耗 10 sec";"8.839434749550037";"L/100km";
"46332.6003089";"平均油耗（总计）";"24.719276928149178";"L/100km";
"46332.6003089";"燃料花费";"0.0016806291324469112";"$";
"46332.6003089";"燃料花费 (今天)";"0.0058236600000000005";"$";
"46332.6003089";"燃料花费 (周)";"0.40210322";"$";
"46332.6003089";"燃料花费（总计）";"0.40210322";"$";
"46332.6003089";"瞬时引擎功率(根据燃油消耗)";"6.830293489666828";"hp";
"46332.6003089";"瞬时油耗（升/100公里）";"9.813977708163113";"L/100km";
"46332.6003089";"行驶距离";"0.020728428666666666";"km";
"46332.6003089";"行驶距离 (今天)";"0.057423";"km";
"46332.6003089";"行驶距离 (周)";"1.610573";"km";
"46332.6003089";"行驶距离（总计）";"1.610573";"km";
"46332.6003089";"已用油量";"0.0016639892400464467";"L";
"46332.6003089";"已用油量 (今天)";"0.005766";"L";
"46332.6003089";"已用油量 (周)";"0.39812200000000003";"L";
"46332.6003089";"已用油量（总计）";"0.39812200000000003";"L";
"46332.6003089";"MAF空气流量";"5.18";"g/sec";
"46332.6003089";"Power from MAF";"6.215999999999999";"hp";
"46332.7762726";"节气门位置";"24.705882352941178";"%";
"46332.7762726";"节油器（基于燃油系统状态和油门位置）";"1";"";
"46332.7762726";"指令空燃比";"14.63156736";"";
"46332.8841168";"车辆加速";"-0.10751375949464442";"g";
"46332.8841168";"车速";"16";"km/h";
"46332.8841168";"发动机转速";"1174";"rpm";
"46332.8841168";"发动机转速 x1000";"1.2";"rpm";
"46332.8841168";"计算的瞬时燃油率";"2.891852098005397";"L/h";
"46332.8841168";"平均速度";"22.787224781076297";"km/h";
"46332.8841168";"平均油耗";"8.628256045234435";"L/100km";
"46332.8841168";"平均油耗 (今天)";"10.220966259235299";"L/100km";
"46332.8841168";"平均油耗 (周)";"24.713814573184806";"L/100km";
"46332.8841168";"平均油耗 10 sec";"8.826236080530311";"L/100km";
"46332.8841168";"平均油耗（总计）";"24.713814573184806";"L/100km";
"46332.8841168";"燃料花费";"0.0019213731639216838";"$";
"46332.8841168";"燃料花费 (今天)";"0.00606404";"$";
"46332.8841168";"燃料花费 (周)";"0.40234359999999997";"$";
"46332.8841168";"燃料花费（总计）";"0.40234359999999997";"$";
"46332.8841168";"瞬时引擎功率(根据燃油消耗)";"11.313497710683663";"hp";
"46332.8841168";"瞬时油耗（升/100公里）";"10.911854507333885";"L/100km";
"46332.8841168";"行驶距离";"0.022047904666666666";"km";
"46332.8841168";"行驶距离 (今天)";"0.058742";"km";
"46332.8841168";"行驶距离 (周)";"1.611892";"km";
"46332.8841168";"行驶距离（总计）";"1.611892";"km";
"46332.8841168";"已用油量";"0.0019023496672491919";"L";
"46332.8841168";"已用油量 (今天)";"0.006004";"L";
"46332.8841168";"已用油量 (周)";"0.39836000000000005";"L";
"46332.8841168";"已用油量（总计）";"0.39836000000000005";"L";
"46332.8841168";"MAF空气流量";"8.58";"g/sec";
"46332.8841168";"Power from MAF";"10.296";"hp";
"46333.0749758";"节气门位置";"30.19607843137255";"%";
"46333.0749758";"节油器（基于燃油系统状态和油门位置）";"1";"";
"46333.0749758";"指令空燃比";"14.63156736";"";
"46333.1704629";"车速";"17";"km/h";
"46333.1704629";"发动机转速";"1324";"rpm";
"46333.1704629";"发动机转速 x1000";"1.3";"rpm";
"46333.1704629";"计算的瞬时燃油率";"4.745603442880652";"L/h";
"46333.1704629";"平均速度";"22.35735742264199";"km/h";
"46333.1704629";"平均油耗";"9.722964377886193";"L/100km";
"46333.1704629";"平均油耗 (今天)";"10.61236722053878";"L/100km";
"46333.1704629";"平均油耗 (周)";"24.71652826782841";"L/100km";
"46333.1704629";"平均油耗 10 sec";"8.878984803904187";"L/100km";
"46333.1704629";"平均油耗（总计）";"24.71652826782841";"L/100km";
"46333.1704629";"燃料花费";"0.002294754094890583";"$";
"46333.1704629";"燃料花费 (今天)";"0.00643774";"$";
"46333.1704629";"燃料花费 (周)";"0.4027173";"$";
"46333.1704629";"燃料花费（总计）";"0.4027173";"$";
"46333.1704629";"瞬时引擎功率(根据燃油消耗)";"18.565739832916783";"hp";
"46333.1704629";"瞬时油耗（升/100公里）";"17.010894694149396";"L/100km";
"46333.1704629";"行驶距离";"0.02336770627777778";"km";
"46333.1704629";"行驶距离 (今天)";"0.060062";"km";
"46333.1704629";"行驶距离 (周)";"1.613212";"km";
"46333.1704629";"行驶距离（总计）";"1.613212";"km";
"46333.1704629";"已用油量";"0.002272033757317409";"L";
"46333.1704629";"已用油量 (今天)";"0.006374";"L";
"46333.1704629";"已用油量 (周)";"0.39873000000000003";"L";
"46333.1704629";"已用油量（总计）";"0.39873000000000003";"L";
"46333.1704629";"MAF空气流量";"14.08";"g/sec";
"46333.1704629";"Power from MAF";"16.896";"hp";
"46333.455579";"节气门位置";"32.549019607843135";"%";
"46333.455579";"节油器（基于燃油系统状态和油门位置）";"1";"";
"46333.455579";"指令空燃比";"14.63156736";"";
"46333.7439767";"车速";"17";"km/h";
"46333.7439767";"发动机转速";"1487";"rpm";
"46333.7439767";"发动机转速 x1000";"1.5";"rpm";
"46333.7439767";"计算的瞬时燃油率";"6.6869866695136455";"L/h";
"46333.7439767";"平均速度";"21.6457288990439";"km/h";
"46333.7439767";"平均油耗";"12.81806967908807";"L/100km";
"46333.7439767";"平均油耗 (今天)";"11.859709480122323";"L/100km";
"46333.7439767";"平均油耗 (周)";"24.741233243436923";"L/100km";
"46333.7439767";"平均油耗 10 sec";"9.097822852525514";"L/100km";
"46333.7439767";"平均油耗（总计）";"24.741233243436923";"L/100km";
"46333.7439767";"燃料花费";"0.0033776029150549536";"$";
"46333.7439767";"燃料花费 (今天)";"0.0075204600000000005";"$";
"46333.7439767";"燃料花费 (周)";"0.40380002";"$";
"46333.7439767";"燃料花费（总计）";"0.40380002";"$";
"46333.7439767";"瞬时引擎功率(根据燃油消耗)";"26.160815219110013";"hp";
"46333.7439767";"瞬时油耗（升/100公里）";"27.91531436988619";"L/100km";
"46333.7439767";"行驶距离";"0.02608942988888889";"km";
"46333.7439767";"行驶距离 (今天)";"0.062784";"km";
"46333.7439767";"行驶距离 (周)";"1.615934";"km";
"46333.7439767";"行驶距离（总计）";"1.615934";"km";
"46333.7439767";"已用油量";"0.0033441613020346074";"L";
"46333.7439767";"已用油量 (今天)";"0.007446";"L";
"46333.7439767";"已用油量 (周)";"0.39980200000000005";"L";
"46333.7439767";"已用油量（总计）";"0.39980200000000005";"L";
"46333.7439767";"MAF空气流量";"19.84";"g/sec";
"46333.7439767";"Power from MAF";"23.808";"hp";
"46333.9389863";"节气门位置";"34.509803921568626";"%";
"46333.9389863";"节油器（基于燃油系统状态和油门位置）";"1";"";
"46333.9389863";"指令空燃比";"14.63156736";"";
"46334.0473351";"车速";"17";"km/h";
"46334.0473351";"发动机转速";"1638";"rpm";
"46334.0473351";"发动机转速 x1000";"1.6";"rpm";
"46334.0473351";"计算的瞬时燃油率";"7.438598578435794";"L/h";
"46334.0473351";"平均速度";"21.349393612236128";"km/h";
"46334.0473351";"平均油耗";"14.37968363163896";"L/100km";
"46334.0473351";"平均油耗 (今天)";"12.549080710501714";"L/100km";
"46334.0473351";"平均油耗 (周)";"24.757470646064814";"L/100km";
"46334.0473351";"平均油耗 10 sec";"9.375815525110431";"L/100km";
"46334.0473351";"平均油耗（总计）";"24.757470646064814";"L/100km";
"46334.0473351";"燃料花费";"0.003991845959258198";"$";
"46334.0473351";"燃料花费 (今天)";"0.00813454";"$";
"46334.0473351";"燃料花费 (周)";"0.4044141";"$";
"46334.0473351";"燃料花费（总计）";"0.4044141";"$";
"46334.0473351";"瞬时引擎功率(根据燃油消耗)";"29.101269752306347";"hp";
"46334.0473351";"瞬时油耗（升/100公里）";"39.33521570302145";"L/100km";
"46334.0473351";"行驶距离";"0.02748546375";"km";
"46334.0473351";"行驶距离 (今天)";"0.06418";"km";
"46334.0473351";"行驶距离 (周)";"1.61733";"km";
"46334.0473351";"行驶距离（总计）";"1.61733";"km";
"46334.0473351";"已用油量";"0.00395232273193881";"L";
"46334.0473351";"已用油量 (今天)";"0.008054";"L";
"46334.0473351";"已用油量 (周)";"0.40041000000000004";"L";
"46334.0473351";"已用油量（总计）";"0.40041000000000004";"L";
"46334.0473351";"MAF空气流量";"22.07";"g/sec";
"46334.0473351";"Power from MAF";"26.483999999999998";"hp";
"46334.2272529";"节气门位置";"34.90196078431372";"%";
"46334.2272529";"节油器（基于燃油系统状态和油门位置）";"1";"";
"46334.2272529";"指令空燃比";"14.63156736";"";
"46334.322771";"车辆加速";"0.03937770502529101";"g";
"46334.322771";"车速";"18";"km/h";
"46334.322771";"发动机转速";"1699";"rpm";
"46334.322771";"发动机转速 x1000";"1.7";"rpm";
"46334.322771";"计算的瞬时燃油率";"7.853164788289716";"L/h";
"46334.322771";"平均速度";"21.15770597412953";"km/h";
"46334.322771";"平均油耗";"15.796022700006503";"L/100km";
"46334.322771";"平均油耗 (今天)";"13.211459588028115";"L/100km";
"46334.322771";"平均油耗 (周)";"24.77369702428498";"L/100km";
"46334.322771";"平均油耗 10 sec";"9.696825883855235";"L/100km";
"46334.322771";"平均油耗（总计）";"24.77369702428498";"L/100km";
"46334.322771";"燃料花费";"0.00460945653558172";"$";
"46334.322771";"燃料花费 (今天)";"0.008751650000000001";"$";
"46334.322771";"燃料花费 (周)";"0.40503121";"$";
"46334.322771";"燃料花费（总计）";"0.40503121";"$";
"46334.322771";"瞬时引擎功率(根据燃油消耗)";"30.723134808733025";"hp";
"46334.322771";"瞬时油耗（升/100公里）";"41.325547657976635";"L/100km";
"46334.322771";"行驶距离";"0.02889219925";"km";
"46334.322771";"行驶距离 (今天)";"0.065587";"km";
"46334.322771";"行驶距离 (周)";"1.618737";"km";
